5.70041e+06, 4.58687e+07, 2.39105e+07, 3.66452e+07, 5.27271e+07
1.137e+06, 1.27579e+07, 7.19809e+06, 8.18095e+06, 5.27271e+07
573698, 5.81087e+06, 3.58328e+06, 3.97196e+06, 8.71375e+06
172068, 1.63363e+06, 1.0672e+06, 862480, 8.71375e+06
95220, 958077, 589221, 455733, 1.36514e+06
53141, 514742, 367138, 232668, 1.36514e+06
32703, 308081, 249382, 133597, 1.36514e+06
20116, 173043, 179085, 77414, 267893
12581, 98828, 138393, 44348, 267893
8237, 52569, 113479, 27001, 267893
6051, 26592, 97738, 17278, 63252
